sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
頭份,苗栗縣,59,細懸浮微粒,普通,1,0.25,49.5,50.3,33,18,9.5,10.6,1,1.8,60,"2023/05/09 22:00:00",0.2,18,40,1,120.89869286,24.69690679,25
苗栗,苗栗縣,53,細懸浮微粒,普通,4.1,0.23,46.6,49.3,32,12,8.2,9.2,1,2.7,20,"2023/05/09 22:00:00",0.2,16,39,2,120.82011468,24.56499183,26
三義,苗栗縣,48,,良好,0.9,0.18,46.4,46.4,35,14,3.3,3.6,0.3,3.6,22,"2023/05/09 22:00:00",0.1,14,35,0,120.75956754,24.38248443,27
豐原,臺中市,55,細懸浮微粒,普通,1.6,0.23,29.3,37.2,35,17,5.4,6.2,0.8,0.5,24,"2023/05/09 22:00:00",0.2,17,36,1,120.74252414,24.25699731,28
沙鹿,臺中市,60,細懸浮微粒,普通,1.6,0.21,43.4,46.6,34,19,8.6,9.2,0.6,3,15,"2023/05/09 22:00:00",0.2,19,39,1,120.568794,24.225628,29
大里,臺中市,55,細懸浮微粒,普通,0.8,0.35,25.1,35.2,46,18,15,16.3,1.3,1.7,4,"2023/05/09 22:00:00",0.3,17,43,1,120.67844444,24.09961111,30
忠明,臺中市,60,細懸浮微粒,普通,0.8,0.28,31.9,35.4,40,22,13.6,13.6,0,1.6,40,"2023/05/09 22:00:00",0.2,19,42,0,120.641092,24.151958,31
西屯,臺中市,66,細懸浮微粒,普通,0.9,0.21,41.7,47.3,36,24,8.2,8.5,0.3,2.8,18,"2023/05/09 22:00:00",0.2,21,40,0,120.616917,24.162197,32
彰化,彰化縣,55,細懸浮微粒,普通,1.1,0.3,33.3,44.8,44,20,14.3,14.5,0.2,2,6,"2023/05/09 22:00:00",0.2,17,42,0,120.541519,24.066,33
線西,彰化縣,61,細懸浮微粒,普通,2.4,0.21,44,49.2,33,19,8,8.8,0.8,4,36,"2023/05/09 22:00:00",0.2,19,43,2,120.469061,24.131672,34
二林,彰化縣,65,細懸浮微粒,普通,2.9,0.21,43.8,50.9,42,19,8.6,8.3,0,2.5,24,"2023/05/09 22:00:00",0.2,21,49,2,120.409653,23.925175,35
南投,南投縣,60,細懸浮微粒,普通,0.9,0.33,25,41.7,46,20,17.2,17.1,0,1.3,34,"2023/05/09 22:00:00",0.3,19,43,0,120.685306,23.913,36
